№,Марка,Пробег,Цена,Фото
1208,"Toyota Ist 1 поколение Хетчбэк , 2004",320000 км,6200$ ,https://i.cars.kg/preview/r/GAkyojR4_eweY_vYc9j0aA/1080x-/20220630/6e5946fb787f6b6cbb832fe15ac5bb6f.jpg
1209,"Volkswagen Golf 2 поколение Хетчбэк 5-дв. , 1990",241000 км,1424$ ,https://i.cars.kg/preview/r/wfQVYt_pP6YJLXUvOIdclg/1080x-/20220630/96a701c19ebd36ca9b0f7a23dec3384d.jpg
1210,"Subaru Legacy 4 поколение Седан , 2003",150 км,6300$ ,https://i.cars.kg/preview/r/00de2jcYsB-OdIfFI9xlog/1080x-/20220630/bae85e37723b681bd65a8c81ff4d08c5.jpg
1211,"Lexus GX , 2006",127000 км,23000$ ,https://i.cars.kg/preview/r/KFCbRFVDdbCrCFkjGfeDgQ/1080x-/20220629/9b13858d2fe5e2b73a1081682054482b.jpg
1212,"Opel Frontera A Внедорожник 5-дв. , 1993",261000 км,2374$ ,https://i.cars.kg/preview/r/haUw5eS6l1C6Nug1PUSxlQ/1080x-/20220629/eaf322727d8fe9a33d67b5d85fce7e95.jpg
1213,"Volkswagen Polo 5 поколение [рестайлинг] , 2016",290000 км,6990$ ,https://i.cars.kg/preview/r/aD1YLapI2_qy8LvcLfPXDg/1080x-/20220629/6e012b9dcb3b925f607e3c0d3b3f1ce5.jpg
1214,"Mercedes-Benz GL-Класс X164 Внедорожник , 2008",1 км,17500$ ,https://i.cars.kg/preview/r/piAWNgPnPhoqxxO4wlOvyA/1080x-/20220629/7d4962f333133f56b966ec1b1b57a56d.jpg
1215,"Toyota , 2013",150000 км,14500$ ,https://i.cars.kg/preview/r/B_LmuGbwPoHwNf6IQAYX5Q/1080x-/20220629/a548fc1d9cce41a317d2a11c3ed0aa61.jpg
1216,"Lexus NX 1 поколение F-Sport кроссовер 5-дв. , 2015",1 км,28000$ ,https://i.cars.kg/preview/r/esUut-q_L2IJFb9gfJEiAA/1080x-/20220629/d4de90cea136ce3b40c8f0d9c92d5ad8.jpg
1217,"Mercedes-Benz E-Класс W211/S211 [рестайлинг] Седан 4-дв. , 2009",200000 км,11000$ ,https://i.cars.kg/preview/r/TUGVvqDH901e95drGJN9CQ/1080x-/20220629/5648a373afdfdf60713c1f347bd41e15.jpg
1218,"Mercedes-Benz Viano W639 Микроавтобус , 2009",1 км,11800$ ,Нет картинки!
1219,"Honda Accord 7 поколение Седан , 2004",122000 км,7000$ ,https://i.cars.kg/preview/r/84OS18KI1TAxGyX2PTagrA/1080x-/20220628/e644174df92d1e74c70d04b20a95a78d.jpg
1220,"Honda Accord 7 поколение Седан , 2004",122000 км,6999$ ,https://i.cars.kg/preview/r/wL1G5lsyurVHLLbGI5HfFg/1080x-/20220628/129a40fc3da97f266b946fae78c3a43a.jpeg
1221,"Mercedes-Benz CL-Класс C215 [рестайлинг] Купе , 2003",144 км,11000$ ,https://i.cars.kg/preview/r/EDvfLC3o-QU9yXL1kxJkfA/1080x-/20220628/b37b769511b41d0fcdb691c15d74fd1f.jpg
1222,"Toyota Yaris XP9 , 2008",Нет пробега!,5521$ ,https://i.cars.kg/preview/r/SHQaJfFSmKbF7akQtl4qzQ/1080x-/20220628/eea42a8e8fe8e18032478539fad318c0.jpg
1223,"Subaru Impreza 2 поколение [рестайлинг] Универсал , 2003",225000 км,3900$ ,https://i.cars.kg/preview/r/AM2g2y5GE-PKLlQqMxMw8w/1080x-/20220628/829f303abde131578c5ac3291d2cfbb2.jpg
1224,"Audi A6 , 1998",Нет пробега!,4800$ ,Нет картинки!
1225,"Daewoo Matiz M200 Хетчбэк , 2006",235000 км,3799$ ,https://i.cars.kg/preview/r/uziLNaHje0I2iUlUzIGExA/1080x-/20220628/c9266797e6ac072a6e4522d79728a64e.jpeg
1226,"Mercedes-Benz A-Класс W169 Хетчбэк 5-дв. , 2005",185432 км,6666$ ,https://i.cars.kg/preview/r/xcPc01cMGVPFCpDLOh8qsA/1080x-/20220627/55d44abcf1809972444335d8a4dd7f80.jpg
1227,"Lexus LS 4 поколение [рестайлинг] , 2008",240000 км,12000$ ,https://i.cars.kg/preview/r/I5ikG9cby-B2Q2NJEdD9Dw/1080x-/20220627/1e52971543448c437d828dcc2b4c1232.jpg
1228,"Lexus RX 2 поколение [рестайлинг] Кроссовер , 2008",250000 км,15300$ ,https://i.cars.kg/preview/r/YltG_PJlGuDtOOkBnm4tTw/1080x-/20220627/ba68d2e5c94e1b9f65f269d1d791e076.jpg
1229,"Chevrolet Niva 1 поколение Внедорожник 5-дв. , 2004",100 км,2968$ ,https://i.cars.kg/preview/r/PWstYql3FnwFZ8B6pR4evg/1080x-/20220627/0994080d6c0d8a8f261fb4dea55b5068.jpg
1230,"Toyota Passo 1 поколение Хетчбэк , 2004",324000 км,3562$ ,https://i.cars.kg/preview/r/L-KK-Edf9DMeiSdsKyhY3A/1080x-/20220627/ddb1c60c60644e9c5c648aa1f1f47e76.jpeg
1231,"Honda X-NV, 2021",1000 км,26000$ ,https://i.cars.kg/preview/r/F8bQYUu37qsE0RTWUsO_7w/1080x-/20220626/b5d97ff152f8038fbcae0f72bcbf9432.jpg
1232,"Chevrolet Aveo T250 [рестайлинг] Хетчбэк 3-дв. , 2009",Нет пробега!,3710$ ,https://i.cars.kg/preview/r/wGaWDsqs90wNKLC15X8rwQ/1080x-/20220626/3651db2bb30cea2aab1bfeb6c96dd3bc.jpg
1233,"BMW 5 серия E39 , 1997",Нет пробега!,4$ ,https://i.cars.kg/preview/r/5DMtm9U2p6f27AW_zN78Hw/1080x-/20220627/04a1090f0ad1c2edfc14e791fd90a7f1.jpg
1234,"Lexus LX 3 поколение Внедорожник , 2008",245000 км,29000$ ,https://i.cars.kg/preview/r/BKS2oTo3Ezcy4P1JS3gp5A/1080x-/20220626/ff805ed8b830e10655f4efe11dbfabce.jpg
1235,"Honda Accord 7 поколение [рестайлинг] US-spec купе , 2007",Нет пробега!,8000$ ,https://i.cars.kg/preview/r/I-uBuYR3f1tq2b2W9PGeZQ/1080x-/20220626/edf57c559b33156d0696370067c6f1e5.jpg
1236,"Honda Accord 9 поколение Седан , 2017",33000 км,18500$ ,https://i.cars.kg/preview/r/_J3i0n44Sm4YfLid3WAhHA/1080x-/20220626/687f7628f144848dbdeb499677367155.jpg
1237,"Lexus , 2006",158000 км,15400$ ,https://i.cars.kg/preview/r/saxm-gQeP_FjIGIPPakNhA/1080x-/20220626/c988865edd3f0fcd53e50cfa28727d8f.jpg
1238,"Honda CR-V 1 поколение [рестайлинг] Кроссовер , 2001",240000 км,7000$ ,https://i.cars.kg/preview/r/3tIrjuZFRNpxZSvqTntoEg/1080x-/20220626/5987d2712c681596075fddc547d5ca85.jpg
1239,"Nissan Primera P12 Лифтбэк , 2002",Нет пробега!,5500$ ,https://i.cars.kg/preview/r/5HEe9i6PfAhKC78UFKtxlQ/1080x-/20220626/04c12c107f991e098d97b22dc87d01da.jpeg
1240,"Mercedes-Benz E-Класс W124 [рестайлинг] , 1988",Нет пробега!,1840$ ,https://i.cars.kg/preview/r/Ek7Q6xinHeVyx-SssKys8w/1080x-/20220625/526d8a59101d739aac360e866ed58934.jpg
1241,"Lexus ES 5 поколение Седан , 2007",240000 км,13000$ ,https://i.cars.kg/preview/r/-UXoOQs1VEXUZqSnbaLACg/1080x-/20220625/d8791dc6faf1d1e5a8008c607aeba66c.jpeg
1242,"Mercedes-Benz E-Класс W124 [рестайлинг] , 1987",Нет пробега!,1721$ ,https://i.cars.kg/preview/r/psgvSpbCpEOf-irm6RYSgA/1080x-/20220625/e2c2562f8d6ec7000bab5fa88eef485d.jpg
1243,"Renault Sandero 1 поколение Хетчбэк 5-дв. , 2012",162000 км,6530$ ,https://i.cars.kg/preview/r/BpHItPIo28jIg7HCko9KZw/1080x-/20220625/caefbfd2182053bddc5426f765ba517f.jpg
1244,"Москвич 2141 , 1992",Нет пробега!,1000$ ,https://i.cars.kg/preview/r/eXLmIA3CflJ8B-WKxTncQg/1080x-/20220625/e4324c656f385b7e89102be7c0523ff0.png
1245,"Mitsubishi Grandis , 2010",40000 км,13800$ ,https://i.cars.kg/preview/r/nqYjRNRmNCUcoaiyosk4iA/1080x-/20220625/77f98c080592e547997800893fab2bc8.jpg
1246,"Cadillac Escalade 2 поколение Внедорожник , 2002",180000 км,13300$ ,https://i.cars.kg/preview/r/XOjhp4kG_4l1ot_WeXt32Q/1080x-/20220625/59db8aa40d1e35367ff219545029a376.jpg
1247,"Mercedes-Benz E-Класс W124 [2-й рестайлинг] Седан , 1993",377000 км,2968$ ,https://i.cars.kg/preview/r/CON8tpEiGaeM7iDJapkqbg/1080x-/20220625/aa982e975cc81348930d52d6642cfb0f.jpg
1248,"Volkswagen Golf 3 поколение Хетчбэк 5-дв. , 1990",224000 км,140000$ ,https://i.cars.kg/preview/r/lJ9v-BAM1iAIs3ktlrln6A/1080x-/20220625/718106dc715a775bef848035a8e644ca.jpg
1249,"Lexus GX 2 поколение , 2011",10000 км,31500$ ,https://i.cars.kg/preview/r/89v_NYoSvjMTbqkRLnYUkg/1080x-/20220624/1f92fbf6dadfb1326a4ed3653ef4054f.png
1250,"Mercedes-Benz S-Класс W221 Седан , 2007",250000 км,11500$ ,https://i.cars.kg/preview/r/kbD38Nkfbrm4fYCrXsO4Gg/1080x-/20220624/4b4c113a35f79b7e5496084126a9bbbb.jpeg
1251,"Mercedes-Benz Sprinter W906 Микроавтобус 4-дв. , 2010",225000 км,17500$ ,https://i.cars.kg/preview/r/d0UnmPJ1Ukl7StT_AgjLyQ/1080x-/20220624/9c1886688a1f80b08b268564505d2542.jpg
1252,"Toyota Camry , 2018",44 км,18000$ ,https://i.cars.kg/preview/r/gG_HKX03GAfg08B-UwCung/1080x-/20220624/5895fa8a549b8a39582707f6e7fe4440.jpg
1253,"Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2018",62000 км,23500$ ,https://i.cars.kg/preview/r/5NPC0yLdIGMes-8mWpfHAQ/1080x-/20220624/8cd2cd39c2ff174ccd6cf7195f0efcb3.jpg
1254,"Suzuki Alto 5 поколение Хетчбэк , 2005",241000 км,2255$ ,https://i.cars.kg/preview/r/tvOBCd6p6798kQWvQNGEsA/1080x-/20220624/5172ffdc9c8f1f07e6e9e59de64ca10d.jpg
1255,"Nissan Juke YF15 Кроссовер , 2011",121500 км,13000$ ,https://i.cars.kg/preview/r/TN-uBQhhDAgOb5xZBp8wNQ/1080x-/20220624/09c0124f26eb8619ed5129cd27f7772b.png
1256,"Chevrolet Aveo T200 Хетчбэк 5-дв. , 2003",Нет пробега!,4000$ ,https://i.cars.kg/preview/r/uOfLVl5hs2YSqJFTVsukvQ/1080x-/20220623/670277b1431665ae298851fc6846a24c.jpg
1257,"Toyota Camry XV40 [рестайлинг] Седан 4-дв. , 2010",140000 км,9800$ ,https://i.cars.kg/preview/r/3vXFjC-OxVDMxESEKsVfWw/1080x-/20220623/8d0eb6c8389abc41a22f5bd6b3daac0f.jpg
1258,"Toyota Highlander 2 поколение [рестайлинг] Кроссовер 5-дв. , 2011",115000 км,21500$ ,https://i.cars.kg/preview/r/YL2tcoz6ksPBtrgij-Baqw/1080x-/20220623/08fdcf3e8ddd03240cc197dea5e2d9c1.webp
1259,"Toyota Land Cruiser Prado J150 Внедорожник , 2010",1 км,31500$ ,https://i.cars.kg/preview/r/O64_DQ5lqbUV6pvp4WHgQA/1080x-/20220623/17e7948c0abe2fbc666e09088ef10e5a.jpg
1260,"Ford Transit 5 поколение Van фургон , 2004",360000 км,3527$ ,https://i.cars.kg/preview/r/nlgLccgjVt666FA5z1E8lg/1080x-/20220623/c924d79a12ccb10568b9238cd99eeb84.jpg
1261,"Toyota Prius 4 поколение Хетчбэк , 2016",66000 км,16500$ ,Нет картинки!
1262,"Toyota Camry XV50 [рестайлинг] Седан , 2015",103000 км,18000$ ,https://i.cars.kg/preview/r/WR5njfVQSblf0ctkZY307g/1080x-/20220623/1a835cf52e2deddcaeeac4164be4e3d2.jpeg
1263,"BMW 5 серия E39 Седан 4-дв. , 1999",310000 км,3443$ ,https://i.cars.kg/preview/r/Wv2nrPp9IHSIE3Wdz243qg/1080x-/20220623/1e0bb71c7a7cd53b5bb2052821b0aed8.jpeg
1264,"Honda Odyssey 2 поколение [рестайлинг] Absolute минивэн 5-дв. , 2003",75000 км,237$ ,Нет картинки!
1265,"Kia K3 1 поколение Седан , 2019",70000 км,16800$ ,https://i.cars.kg/preview/r/6GgyVeQnd4oFKsbm3X_elw/1080x-/20220622/99e2c4d737c5ea1a7ebba8216059fb9d.jpg
1266,"Kia K5 1 поколение Седан , 2018",106000 км,15000$ ,https://i.cars.kg/preview/r/YaraJs-YxIJEygXo9ucCNw/1080x-/20220622/a233b9f439b9db69bf6b1ed89305c1ed.jpg
1267,"Toyota Land Cruiser J200 [рестайлинг] 200 внедорожник , 2013",199100 км,42000$ ,https://i.cars.kg/preview/r/P96yiGEOlxHujoSe2OUePQ/1080x-/20220622/512432b722dda9daa3a21c2c152dd9e5.jpg
1268,"Mercedes-Benz C-Класс W203/S203/CL203 [рестайлинг] Седан 4-дв. , 2005",187000 км,450000$ ,https://i.cars.kg/preview/r/FvNjJorG-rpdFbLK2mbB_w/1080x-/20220622/6ec5ca6e179adce00d36ed72dd58ba03.jpg
1269,"Land Rover Range Rover 3 поколение [2-й рестайлинг] Внедорожник , 2010",188800 км,20000$ ,https://i.cars.kg/preview/r/b3KERnH4d2FGsLTtQYJJAw/1080x-/20220622/3055c0efa46a9c1cda020ad2c815be78.webp
1270,"Suzuki Alto 5 поколение Хетчбэк , 2003",Нет пробега!,1781$ ,https://i.cars.kg/preview/r/ku0KijBhntd2nHXE3hU7jg/1080x-/20220622/b670155fc8370aeae0428250df565e24.jpg
1271,"Mercedes-Benz GL-Класс , 2010",Нет пробега!,18500$ ,https://i.cars.kg/preview/r/ma7zjqyklLCPlFU2M-qKJg/1080x-/20220622/065f604df8a2ed8d97fa11f0fa26a995.jpg
1272,"Toyota Crown S180 Седан , 2004",264000 км,9000$ ,https://i.cars.kg/preview/r/3MdMejwxeMrx1x2Mili3UA/1080x-/20220622/684147556c75e2ce0de10b6c91d01446.jpg
1273,"Toyota Camry XV50 [рестайлинг] Седан , 2017",1 км,23300$ ,https://i.cars.kg/preview/r/y7aPTJ45pmSt6UiaFiK8vQ/1080x-/20220622/698738e5e6f45e6edc9d7dfdb4aadfc7.jpg
1274,"Toyota Prius 3 поколение [рестайлинг] Хетчбэк , 2015",87000 км,12700$ ,https://i.cars.kg/preview/r/tlGobOO1sNkZ3TR2CLnY2A/1080x-/20220622/63d5105501cadb9d7b78c6f8888ccacb.jpg
1275,"Nissan Bluebird U11 Хардтоп , 1987",600000 км,1662$ ,https://i.cars.kg/preview/r/D7lKrM4qF0va4WqxqE9ehA/1080x-/20220622/c813b916f77928c67f001df4569d9268.jpg
1276,"Mazda Demio 1 поколение [рестайлинг] Хетчбэк , 2001",320000 км,2968$ ,https://i.cars.kg/preview/r/PJRhNye74EWei5jmCbXTlg/1080x-/20220621/1ee7e6ab2be37f96bc44c52d6c91d6e3.jpg
1277,"Volkswagen Passat B3 Седан , 1993",600000 км,2612$ ,https://i.cars.kg/preview/r/6xDAML53P_oYZpma2TS3sg/1080x-/20220621/1a0efcfc6f4b4d86549874adbd9f9b9c.jpeg
1278,"Chevrolet Suburban , 2017",Нет пробега!,50000$ ,https://i.cars.kg/preview/r/duekyyWxdrDgMC0L-2xrkA/1080x-/20220621/c2db56a21c78081c1ed24c301a7abe7b.jpg
1279,"Ford F-Series , 2012",Нет пробега!,51000$ ,https://i.cars.kg/preview/r/1g8D7fQwxjIqw3Ab5K5RUg/1080x-/20220621/f126595e5023c6c6d5cfc21978a226da.jpg
1280,"Hyundai Porter 3 поколение , 2003",313500 км,9023$ ,https://i.cars.kg/preview/r/jHoJwipW1p6_50y7cVhYZQ/1080x-/20220621/6d92787ad382fd1b1c181f4d57319c8d.jpg
1281,"Kia Shuma 1 поколение Хетчбэк , 1998",9637 км,1899$ ,https://i.cars.kg/preview/r/VkfUrfTSoLwnNimYnmqQkg/1080x-/20220621/428343ab7394ffdba0a2ad24f0aa783e.jpg
1282,"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 2000",208000 км,13500$ ,https://i.cars.kg/preview/r/Jy2DlzsfDDypPfHzxpp9JQ/1080x-/20220621/0d035eb4e5048c4b6a0396df4fdceecc.jpg
1283,"Toyota Highlander 3 поколение Кроссовер , 2014",167000 км,36000$ ,https://i.cars.kg/preview/r/oewp1dWXIAxRSwIgU7dETA/1080x-/20220621/99ffa9a56161a631e4cad41dca2c63b0.jpeg
1284,"Audi 100 4A/C4 Седан , 1991",Нет пробега!,2968$ ,Нет картинки!
1285,"Honda CR-V 2 поколение [рестайлинг] Кроссовер , 2005",1 км,13000$ ,https://i.cars.kg/preview/r/PFM9jB-OlVNgPmUO1MWMQg/1080x-/20220621/1b6a2b0ab58de843b1aa7ef02c0f642b.webp
1286,"Volkswagen Golf 4 поколение Хетчбэк 3-дв. , 1999",50000 км,2500$ ,https://i.cars.kg/preview/r/59dqhCv01aahOqTcdOvVaA/1080x-/20220620/f03760eef82f0f9f15c2cacf2f70e683.jpeg
1287,"Toyota Camry XV30 Седан , 2004",172000 км,8300$ ,https://i.cars.kg/preview/r/BiVQ8bjbNEzsrRCJw9x7qw/1080x-/20220620/53c6803d12053c6f9a216eff4b679144.jpg
1288,"Toyota Harrier 1 поколение Кроссовер , 2000",160000 км,10000$ ,https://i.cars.kg/preview/r/PrxEWJqlGu2olyISVx7qlQ/1080x-/20220620/9efaf8222f916f6b67d512e5561ec414.jpeg
1289,"Volkswagen Transporter T5 [рестайлинг] Kasten фургон , 2013",270000 км,14500$ ,https://i.cars.kg/preview/r/U5cDiL5Ew-MJab_CCzkVsg/1080x-/20220620/aff9500c036e73c2641d1bd6c588bdd5.jpg
1290,"Daewoo Lanos T100 Седан , 1997",203000 км,1781$ ,https://i.cars.kg/preview/r/n87mn-uJdbFhNl3qRy70uA/1080x-/20220620/7eea7e5bf3b93fefc24f221fba15bdb4.jpg
1291,"Honda Civic , 2017",21700 км,20000$ ,https://i.cars.kg/preview/r/L5MyJ6uTOBGquyKVtprFwQ/1080x-/20220620/90c2001b7dc1275d1024dd16356d5b8a.jpg
1292,"Volkswagen Touareg 1 поколение Кроссовер , 2004",25000 км,4999$ ,https://i.cars.kg/preview/r/TGMwFH0TT_b6EY920guAIQ/1080x-/20220620/d8c1d1cd0ba9023eb49f40b9a7655b1a.jpeg
1293,"Land Rover Range Rover 3 поколение [2-й рестайлинг] Внедорожник , 2010",1 км,24500$ ,https://i.cars.kg/preview/r/rMKYiMw5X0AjgvHOkDAeHw/1080x-/20220620/91ad7d425b976cac55afe796e574689d.jpg
1294,"Subaru Legacy 5 поколение Седан , 2011",134000 км,9700$ ,https://i.cars.kg/preview/r/KjvU-DjBd4XzOCALkeecZw/1080x-/20220619/849984667b5cb53291bb0206e3f10160.jpg
1295,"Toyota Highlander 3 поколение Кроссовер , 2017",118000 км,27000$ ,https://i.cars.kg/preview/r/AC_Up8QATZyQcIvdFIrB1w/1080x-/20220619/12af86c4efbfedd99900001052a25add.jpg
1296,"Nissan Primera P12 Седан 4-дв. , 2002",Нет пробега!,3300$ ,Нет картинки!
1297,"Chevrolet Spark M300 , 2012",100000 км,5500$ ,https://i.cars.kg/preview/r/LqPpczHdmmf1nTPn4wC6Lw/1080x-/20220619/176a06ad0f013aaa0bc338f2047a6766.jpg
1298,"Hyundai Sonata YF , 2015",Нет пробега!,11999$ ,https://i.cars.kg/preview/r/pc9Y-8m_rzk8amFal6REsg/1080x-/20220619/ec8ff17577eb2156ad2f6ffc15c95032.jpg
1299,"Toyota , 2004",266000 км,5800$ ,Нет картинки!
1300,"Toyota , 2004",266000 км,5800$ ,Нет картинки!
1301,"Toyota , 2004",266000 км,5800$ ,Нет картинки!
1302,"Toyota , 2004",266000 км,5800$ ,Нет картинки!
1303,"Toyota , 2004",266000 км,5800$ ,Нет картинки!
1304,"Lexus LX 3 поколение Внедорожник , 2010",Нет пробега!,35000$ ,https://i.cars.kg/preview/r/oBmGXU-GUybe9cvhInNYmw/1080x-/20220618/1188c1edb8ff44afc6cf1ee42d4cc539.jpg
1305,"Audi A6 4F/C6 Седан , 2006",Нет пробега!,7400$ ,https://i.cars.kg/preview/r/xW4iso8FijOGhTVx8Jd_1A/1080x-/20220618/2cd661a2ea9789947793a88b00f40f4f.jpg
1306,"Toyota Camry XV50 [рестайлинг] Седан , 2016",160000 км,17000$ ,https://i.cars.kg/preview/r/BL6mRdFKGNPB87Iy4FfPjQ/1080x-/20220618/b6062bd8fff5e19b7c92ee95cea34cf1.jpeg
1307,"Toyota Land Cruiser , 2008",Нет пробега!,28000$ ,https://i.cars.kg/preview/r/VtAEe7LEwlZLaMuRbwPLdA/1080x-/20220618/5f3b5729b65bca04943023e615eaf6da.jpg
1308,"Nissan Teana J31 Седан , 2007",180000 км,6$ ,https://i.cars.kg/preview/r/iLuPTZK5izI25hBSY_56Wg/1080x-/20220618/81f72fa2db34d59d665a1891c789f8b0.jpeg
1309,"Toyota Kluger XU20 [рестайлинг] Внедорожник 5-дв. , 2004",110000 км,14000$ ,https://i.cars.kg/preview/r/3fW4WyVex9hg2oBC-2-Kvg/1080x-/20220618/75a1d4d1696e25b9e7aca45a0f460590.webp
1310,"Toyota Avensis 1 поколение Хетчбэк , 2000",318500 км,3918$ ,https://i.cars.kg/preview/r/3B_Mz5uFrPIpX6-JxO2sJQ/1080x-/20220618/74d2fffb56584f7bcdca10df0a8f8f36.jpg
1311,"Hyundai Getz 1 поколение [рестайлинг] Cross хетчбэк 5-дв. , 2005",270000 км,5000$ ,https://i.cars.kg/preview/r/oCSSi9Kc-ZDOakEdoBxWZg/1080x-/20220618/0d8550ed9bf4f20c745b4536471fc5bc.jpg
1312,"Suzuki Jimny , 2002",118500 км,7100$ ,https://i.cars.kg/preview/r/npWpniQnI52cRcSf1-1tkA/1080x-/20220618/9f60104edcd12ae5077be312442815f9.jpg
1313,"Ford Focus 2 поколение Универсал 5-дв. , 2005",266000 км,3300$ ,https://i.cars.kg/preview/r/UtGPGwL7fFJhmY3h7ucG4Q/1080x-/20220618/78c8fd1e2899977ed6bf991dbc950b26.jpeg
1314,"Toyota Highlander 3 поколение Кроссовер , 2014",202000 км,32500$ ,https://i.cars.kg/preview/r/cWZbmzrR1BQXr5-Y0kWbAg/1080x-/20220617/674e941a35c1d24ed53513186a4f8b69.jpeg
1315,"Subaru Outback 5 поколение Универсал , 2017",72000 км,15500$ ,https://i.cars.kg/preview/r/r-kULcNQpfZENUtKB7CfAQ/1080x-/20220617/dfa03cf0cbfa8e3c97b2a37da570b257.webp
1316,"Toyota RAV4 4 поколение [рестайлинг] Кроссовер , 2016",180000 км,21700$ ,https://i.cars.kg/preview/r/OkU-4HHXyCdcOjBacUwsmw/1080x-/20220617/c51dbe49fa935aa4657c402e0c110823.jpeg
1317,"Lexus GX 1 поколение Внедорожник , 2005",122900 км,22000$ ,https://i.cars.kg/preview/r/w_FQRggSh5zOkSsiWVFuBg/1080x-/20220617/20a3d82183ce35f64a683f6435958ca4.webp
1318,"Daewoo Nexia 1 поколение [рестайлинг] Седан , 2008",260000 км,1781$ ,https://i.cars.kg/preview/r/qZ_fU7f0YFO1nVZ4PC8c9A/1080x-/20220617/0ab9e308c5ebab4b76752c1c00112fd8.jpg
1319,"Honda Inspire 4 поколение [рестайлинг] Седан , 2006",1 км,8300$ ,https://i.cars.kg/preview/r/-6JJEZbq7slzp6S6cQ6uFw/1080x-/20220617/23160c26c52c1399b14041fcc64ce760.jpg
1320,"Toyota Land Cruiser J200 [рестайлинг] 200 внедорожник , 2013",191500 км,40000$ ,https://i.cars.kg/preview/r/3y8FqePr8vrhsDoIPbEtrQ/1080x-/20220617/0127876bbc235dc48b0ece50aa7ad5ec.jpg
1321,"Mercedes-Benz S-Класс W220 [рестайлинг] Седан , 2003",1 км,7100$ ,https://i.cars.kg/preview/r/EOVPaHyDDPwa4KoQFAuHSA/1080x-/20220617/2e3dca7a62842f4f68a1f86ffb0ced5c.jpg
1322,"Honda Stepwgn 2 поколение Минивэн 5-дв. , 2003",264000 км,8311$ ,https://i.cars.kg/preview/r/LJiAC_xRs21iy9yB_61xfg/1080x-/20220617/acfcf30dcc846c79ef3d878ad68cfdee.jpg
1323,"Mercedes-Benz E-Класс W211/S211 Седан , 2003",1 км,17500$ ,https://i.cars.kg/preview/r/qMQ2E2crzsgbYLtM0A3m4w/1080x-/20220617/902dc89524a5cda9f20e5fd68f33b493.jpg
1324,"Daewoo , 2006",Нет пробега!,593$ ,https://i.cars.kg/preview/r/MWACHr9OK-cVePsnjAc04g/1080x-/20220617/61297f6f2dd007e88bb40dfe24ee067f.jpg
1325,"Mercedes-Benz E-Класс W210/S210 Седан 4-дв. , 1998",Нет пробега!,5000$ ,https://i.cars.kg/preview/r/ocbhf2EqW6xixe2ZrBqiWA/1080x-/20220617/6e5071e533aaca9767e4ad137642686e.jpeg
1326,"BMW 5 серия E34 Седан , 1994",1 км,10500$ ,https://i.cars.kg/preview/r/ehEFD6lX5BzUNJKzbpn1Ww/1080x-/20220617/fe821c556fcd1af3e3cd0116727276f1.jpg
1327,"Mitsubishi Colt Z30 JP-spec хетчбэк 5-дв. , 2005",134000 км,4$ ,https://i.cars.kg/preview/r/mWrUCGK3IRBepR2xLvHK7g/1080x-/20220618/b83ea094a9d36d8a7e1830950d832aac.jpg
1328,"Toyota Caldina 3 поколение , 2003",255800 км,8200$ ,https://i.cars.kg/preview/r/FXh4gnQwhFlBsDxzAnuOYg/1080x-/20220617/6cd596d81cb2e1a42c5c2ed4f4f62835.jpg
1329,"Mitsubishi Airtrek 1 поколение Кроссовер 5-дв. , 2002",204000 км,5200$ ,https://i.cars.kg/preview/r/oPoM7VQtACNUP7I29HMqeA/1080x-/20220617/8f64219d8956ed337b0479128fe86943.jpg
1330,"Ford F-Series 12 поколение F-150 RegularCab пикап 2-дв. , 2012",184000 км,32$ ,https://i.cars.kg/preview/r/poDrlY5hXyRh5FLhjELpYQ/1080x-/20220617/32d2535cee79efd5810b72acdda9c50a.jpg
1331,"Toyota Prius 3 поколение [рестайлинг] Хетчбэк , 2015",158000 км,12600$ ,https://i.cars.kg/preview/r/LDknA5aNunLaS4tgTymgNg/1080x-/20220617/ba1dcc99eff5f0ce654d2d8a25bafe8b.jpg
1332,"Nissan , 1996",Нет пробега!,3300$ ,https://i.cars.kg/preview/r/aO8hdGGt32FFGkq7OlX5zw/1080x-/20220617/e2a124b08b96192167f4f3259cb2fe84.jpg
1333,"Renault Sandero 2 поколение Stepway хетчбэк 5-дв. , 2017",38000 км,11900$ ,Нет картинки!
1334,"Mercedes-Benz E-Класс W124 [2-й рестайлинг] Седан , 1995",1 км,5300$ ,https://i.cars.kg/preview/r/u8VJ5gJ5BI3AcZ1oIE561g/1080x-/20220616/d540db1dc251e3f0603af47bc718d93c.jpg
1335,"Toyota Harrier 1 поколение Кроссовер , 2001",4 км,6500$ ,https://i.cars.kg/preview/r/ho-vLfmwxoIzQmTSJZNv5w/1080x-/20220616/b22c5e16d2e9d1d12190193aba3a875e.jpeg
1336,"Toyota 86 ZN6 Купе , 2016",94765 км,6000$ ,Нет картинки!
1337,"Hyundai Getz 1 поколение Хетчбэк 5-дв. , 2003",63000 км,4749$ ,https://i.cars.kg/preview/r/1aPJ2nNaTaNSEjmOqJGwWg/1080x-/20220616/49a2b44a1af22daf8d6870f96dc42439.jpg
